FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
16815,100851,222 ST,4,II,100 AV,BRADDOCK AV,ON,II,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Standard,Standard
16816,72128,E 167 ST,2,II,GRANT AV,CLAY AV,ON,II,2007-07-01T00:00:00,2007-07-01T00:00:00, ,2,2,Standard,Standard
16817,9001810,CARLTON AV,3,II,ATLANTIC AV,FLUSHING AV,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,L,1, ,Standard
16818,17251,6 AVENUE,3,III,67 ST,FT HAMILTON PKWY,ON,III,2015-06-29T00:00:00,2015-06-29T00:00:00, ,2,2,Sharrows,Sharrows
16819,9003606,THROOP AV,3,II,FLUSHING AV,FULTON ST,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
16820,251898,QUEENSBORO BR,1,I,QUEENS PLZ N,1 AV,ON,I,1979-07-01T00:00:00,1979-07-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
16821,9008182,DELANCEY ST N,1,III,MANGIN ST,CLINTON ST,ON,III,2015-09-18T00:00:00,2015-09-18T00:00:00, ,L,1, ,Sharrows
16822,289946,SEAVIEW AV,5,II,FR CAPODANNO BLVD,MASON AV,ON,II,2018-12-24T00:00:00,2018-12-24T00:00:00, ,L,1, ,Standard
16823,157392,164 ST,4,II,GRND CNTRL PKWY SR N,HOR HARDING EXWY SR N,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Standard, 
16824,82882,JEWEL AV,4,II,113 PL,VAN WYCK EXPWY,ON,II,2013-04-05T00:00:00,2013-04-05T00:00:00, ,R,1,Curbside, 
16825,297706,RANDALLS ISLAND CONNECTOR,2,I,RANDALLS ISLAND GREENWAY,E 132 ST,OFF,I,2015-11-14T00:00:00,2015-11-14T00:00:00, ,2,2,Greenway,Greenway
16826,231794,EASTERN PKWY,3,I,WASHINGTON AV,RALPH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on South Mall Only,2,2,Greenway,Greenway
16827,36956,44 DR,4,III,23 ST,HUNTER ST,ON,III,2011-06-17T00:00:00,2011-06-17T00:00:00, ,2,2,Sharrows,Sharrows
16828,110892,ALLEN ST,1,III,DIVISION ST,E HOUSTON ST,ON,III,2009-08-01T00:00:00,2009-08-01T00:00:00, ,L,1, ,Sharrows
16829,28985,LAFAYETTE AV,3,II,FT GREENE PL,FULTON ST,ON,II,2012-10-10T00:00:00,2012-10-10T00:00:00, ,R,1,Standard, 
16830,71765,E 165 ST,2,III,SHERMAN AV,PARK AV,ON,III,2015-11-23T00:00:00,2015-11-23T00:00:00, ,2,2,Sharrows,Sharrows
16831,110505,VAN SICLEN AV,3,II,NEW LOTS AVE,WORTMAN AVE,ON,II,2014-09-10T00:00:00,2014-09-10T00:00:00, ,2,2,Standard,Standard
16832,31184,TOMPKINS AV,3,III,FLUSHING AV,MYRTLE AV,ON,III,2008-05-01T00:00:00,2008-05-01T00:00:00, ,R,1,Sharrows, 
16833,77690,RANDALL AV,2,II,TRUXTON ST,HALLECK ST,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,2,2,Standard,Standard
16834,67325,VERNON BLVD,4,III,34 AV,33 RD,ON,III,2008-07-31T00:00:00,2013-11-20T00:00:00, ,2,2,Sharrows,Sharrows
16835,43357,E NEW YORK AV,3,II,HOWARD AV,UTICA AV,ON,II,2009-10-01T00:00:00,2009-10-01T00:00:00, ,2,2,Standard,Standard
16836,9006324,LONGFELLOW AV,2,II,BRUCKNER BL,E 174 ST,ON,II,2006-11-01T00:00:00,2006-11-01T00:00:00, ,R,1,Standard, 
16837,280429,MANHATTAN COLLEGE PKWY,2,III,WALDO WALK,W 242 ST,ON,III,2009-05-27T00:00:00,2009-05-27T00:00:00, ,2,2,Sharrows,Sharrows
16838,176139,E 174 ST,2,II,HOE AV,METCALF AV,ON,II,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Standard,Standard
16839,301952,12 ST,1,I,5 AV,AVE C,ON,I,2018-12-26T00:00:00,2018-12-26T00:00:00, ,R,1,Protected Path, 
16840,150465,CROSS BAY BLVD,4,II,CROSS BAY BR,165 AV,ON,II,1997-05-01T00:00:00,1997-05-01T00:00:00, ,L,1, ,Standard
16841,85148,LAFAYETTE AV,2,II,METCALF AV,HAVEMEYER AV,ON,II,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Standard,Standard
16842,22885,5 AV,3,II,CARROLL ST,8 ST,ON,II,2004-07-01T00:00:00,2004-07-01T00:00:00, ,2,2,Standard,Standard
16843,232428,FLATBUSH AV GREENWAY,3,I,HENDRICKSON PL,MARINE PKWY BR,OFF,I,1983-03-01T00:00:00,1983-01-01T00:00:00, ,2,2,Greenway,Greenway
16844,147949,11 St,4,III,45 Av,44 Dr,ON,III,2014-04-21T00:00:00,2014-04-21T00:00:00,Previously part of bikeID1559,L,1,Sharrows, 
16845,1046,HYLAN BLVD,5,II,PAGE AV,POILLON AV,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,2,2,Curbside,Curbside
16846,297517,HARLEM RIVER GREENWAY,2,I,W 176 ST,EXTERIOR ST,OFF,I,2014-04-01T00:00:00,2014-04-01T00:00:00, ,2,2,Greenway,Greenway
16847,13407,RICHMOND RD,5,II,VAN DUZER ST,PIERCE ST,ON,II,2017-09-29T00:00:00,2017-09-29T00:00:00, ,R,1,Standard, 
16848,182385,82 AVE,4,II,COMMONWEALTH BLVD,268 ST,ON,II,2017-06-28T00:00:00,2017-06-28T00:00:00, ,2,2,Standard,Standard
16849,82139,63 RD,4,III,QUEENS BLVD,GRND CNTRL PKWY,ON,III,2012-08-17T00:00:00,2012-08-17T00:00:00, ,R,1,Bike-Friendly Parking, 
16850,143616,CLARKSON ST,1,III,WEST ST,GREENWICH ST,ON,III,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Signed Route
16851,9006430,MADISON ST,1,III,ST JAMES PL,PIKE ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,2,2,Sharrows,Sharrows
16852,275212,SPRING ST,1,III,LAFAYETTE ST,BOWERY,ON,III,2015-07-13T00:00:00,2015-07-13T00:00:00, ,L,1, ,Sharrows
16853,35351,50 AV,4,III,2 ST,JACKSON AVE,ON,III,2014-06-06T00:00:00,2014-06-06T00:00:00, ,R,1,Sharrows, 
16854,9004949,HOYT ST,3,II,DOUGLASS ST,SCHERMERHORN ST,ON,II,2010-06-01T00:00:00,2010-06-01T00:00:00, ,R,1,Curbside, 
16855,70249,MELROSE AV,2,II,E 152 ST,E 165 ST,ON,II,2008-09-18T00:00:00,2008-09-18T00:00:00, ,2,2,Standard,Standard
16856,9005880,PARSONS BLVD,4,II,71 AVE,65 AVE,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,L,1, ,Standard
16857,9004698,LACONIA AVE,2,II,BOSTON RD,E 229 ST,ON,II,2010-06-01T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
16858,190914,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
16859,78549,THIRD AV,2,III,E 176 ST,E TREMONT AV,ON,III,2018-11-15T00:00:00,2018-11-15T00:00:00, ,2,2,Sharrows,Sharrows
16860,126923,68 ST,3,II,3 AV,SHORE RD,ON,II,2001-11-01T00:00:00,2001-11-01T00:00:00, ,L,1, ,Standard
16861,158628,E HOUSTON ST,1,II,LILLIAN WALD DR,FDR DR,ON,II,2013-07-01T00:00:00,2013-07-01T00:00:00, ,R,1,Standard, 
16862,55017,LEFFERTS BLVD,4,III,ROCKAWAY BLVD,135 AV,ON,III,2013-10-21T00:00:00,2013-10-21T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
16863,9003613,TOMPKINS AV,3,III,FLUSHING AV,MYRTLE AV,ON,III,1997-11-01T00:00:00,2008-05-01T00:00:00, ,R,1,Sharrows, 
16864,16589,SHORE RD,3,II,4 AV,68 ST,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,R,1,Standard, 
16865,115273,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
16866,25548,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,1998-07-01T00:00:00,2005-08-01T00:00:00, ,2,2,Standard,Standard
16867,163758,FRANKLIN AV,3,II,LEFFERTS PL,ATLANTIC AV,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
16868,240056,HARLEM RIVER DR GREENWAY,1,I,E 133 ST,W 145 ST,OFF,I,2008-08-01T00:00:00,2008-08-01T00:00:00, ,2,2,Greenway,Greenway
16869,111966,BROADWAY,4,II,ROOSEVELT AV,74 ST,ON,II,2011-10-01T00:00:00,2019-08-01,previously 1 curbside lane EB,R,1,Curbside, 
16870,9004918,HOYT ST,3,II,DOUGLASS ST,SCHERMERHORN ST,ON,II,2010-06-01T00:00:00,2010-06-01T00:00:00, ,R,1,Curbside, 
16871,184515,2 AV,1,III,E 34 ST,E 43 ST,ON,III,2011-07-22T00:00:00,2011-07-22T00:00:00, ,L,1, ,Sharrows
16872,23991,CLINTON ST,3,II,HAMILTON AV,TILLARY ST,ON,II,2003-04-01T00:00:00,2003-04-01T00:00:00, ,L,1, ,Standard
16873,110937,W 10 ST,1,II,GREENWICH AV,AV A,ON,II,2004-11-01T00:00:00,2009-06-01T00:00:00, ,L,1, ,Curbside
16874,299151,SEDGWICK AVENUE,2,II,UNDERCLIFF AVE,DEPOT PL,ON,II,2015-06-29T00:00:00,2015-06-29T00:00:00, ,L,1, ,Standard
16875,33823,8 AV,1,I,BANK ST,W 39 ST,ON,I,2006-04-01T00:00:00,2012-07-06T00:00:00, ,R,1,Protected Path, 
16876,86861,YATES AV,2,II,PIERCE AV,LYDIG AV,ON,II,2002-10-01T00:00:00,2002-10-01T00:00:00, ,R,1,Standard, 
16877,149661,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
16878,238435,INWOOD HILL PARK GREENWAY,1,I,DYCKMAN ST,W 218 ST,OFF,I,2014-07-01T00:00:00,2014-07-01T00:00:00, ,2,2,Greenway,Greenway
16879,77193,SOUTHERN BLVD,2,III,ST. MARY'S STREET,WESTCHESTER AV,ON,III,2010-12-01T00:00:00,2010-12-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
16880,138622,RIVERSIDE DR,1,III,BROADWAY,STAFF ST,ON,III,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Signed Route, 
16881,128590,ONDERDONK AVENUE,4,II,FLUSHING AVE,69 AVE,ON,II,2014-08-21T00:00:00,2014-08-21T00:00:00, ,R,1,Standard, 
16882,9005715,PARSONS BLVD,4,II,71 AVE,65 AVE,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,L,1, ,Standard
16883,9002537,E NEW YORK AV,3,III,PROSPECT PL,GRAFTON ST,ON,III,2010-04-01T00:00:00,2010-04-01T00:00:00, ,2,2,Sharrows,Sharrows
16884,164382,E 16 ST,1,II,UNION SQ E,RUTHERFORD PL,ON,II,2016-09-26T00:00:00,2016-09-26T00:00:00, ,R,1,Standard, 
16885,122432,FT HAMILTON PARKWAY,3,II,6 AVE,92 ST,ON,II,2015-06-28T00:00:00,2015-06-28T00:00:00, ,2,2,Standard,Standard
16886,296521,ALLEY POND PARK GREENWAY,4,I,73 AV,76 AV,OFF,I,2002-12-01T00:00:00,2002-12-01T00:00:00, ,2,2,Greenway,Greenway
16887,61631,BOARDWALK,4,I,BEACH 39 ST,BEACH 19 ST,OFF,I,1970-01-01T00:00:00,2017-07-01T00:00:00, ,2,2,Boardwalk,Boardwalk
16888,45197,WOODWARD AVE,4,II,CATALPA AVE,FLUSHING AVE,ON,II,2014-08-21T00:00:00,2014-08-21T00:00:00, ,L,1, ,Standard
16889,9001042,E 120 ST,1,II,5 AV,PALADINO AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
16890,229470,BEACH 73 ST,4,II,SHORE FRONT PKWY,ROCKAWAY BEACH BLVD,ON,II,2016-10-01T00:00:00,2016-10-01T00:00:00, ,R,1,Standard, 
16891,72594,SHERMAN AV,1,II,BROADWAY,10 AV,ON,II,2015-07-01T00:00:00,2015-07-01T00:00:00, ,2,2,Standard,Standard
16892,9000167,27 AV,4,II,1 ST,8 ST,ON,II,2008-07-31T00:00:00,2008-07-31T00:00:00, ,2,2,Standard,Standard
16893,231942,BROOKLYN BRIDGE PARK GREENWAY,3,I,ATLANTIC AV,FURMAN ST,OFF,I,2010-06-01T00:00:00,2010-06-01T00:00:00, ,2,2,Greenway,Greenway
16894,25036,W 6 ST,3,III,65 ST,86 ST,ON,III,2010-05-01T00:00:00,2010-05-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
16895,231353,LEIF ERICSON PARK GREENWAY,3,I,3 AV,7 AV,OFF,I,2001-11-01T00:00:00,2001-11-01T00:00:00, ,2,2,Greenway,Greenway
16896,89659,E 233 ST,2,II,DE REIMER AVE,PROVOST AVE,ON,II,2012-08-13T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
16897,315412,FERRY TERMINAL RAMP C,5,I,FERRY TERMINAL,RICHMOND TER,ON,I,2013-04-01T00:00:00,2018-12-24T00:00:00, ,2,2,Protected Path,Protected Path
16898,130627,32 AVE,4,II,93 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,L,1, ,Standard
16899,107102,INTERVALE AVE,2,III,WESTCHESTER AVE,FREEMAN ST,ON,III,2015-10-01T00:00:00,2015-10-01T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
16900,37544,E 78 ST,1,II,5 AVE,YORK AVE,ON,II,2016-07-15T00:00:00,2016-07-15T00:00:00, ,R,1,Standard, 
16901,182108,E HAMPTON BLVD,4,I,WEST ALLEY RD,58 RD,OFF,I,2002-06-01T00:00:00,2017-12-20T00:00:00,west sidewalk,2,2,Sidewalk,Sidewalk
16902,196571,4 AV,3,I,15 ST,1 ST,ON,I,2013-10-11T00:00:00,2019-07-09,previously part of bike ID 934,L,1, ,Protected Path
16903,260472,HUDSON RIVER GREENWAY,1,I,BATTERY PARK GREENWAY,W 59 ST,OFF,I,2001-04-01T00:00:00,2001-04-01T00:00:00, ,2,2,Greenway,Greenway
16904,45430,ONDERDONK AVENUE,4,II,FLUSHING AVE,69 AVE,ON,II,2014-08-21T00:00:00,2014-08-21T00:00:00, ,R,1,Standard, 
16905,35098,WYTHE AV,3,II,N 14 ST,DIVISION AV,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
16906,115274,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
16907,23131,BROAD ST,1,II,BRIDGE ST,SOUTH WILLIAM ST,ON,II,2017-05-09T00:00:00,2017-10-15T00:00:00, ,L,1, ,Standard
16908,150164,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,1999-11-01T00:00:00,1999-11-01T00:00:00, ,L,1, ,Standard
16909,119351,WALDO WALK,2,I,IRWIN AV,MANHATTAN COLLEGE PKWY,OFF,I,2009-05-27T00:00:00,2009-05-27T00:00:00, ,2,2,Greenway,Greenway
16910,161363,57 ST,3,II,7 AV,3 AV,ON,II,2018-11-30T00:00:00,2018-11-30T00:00:00, ,L,1, ,Standard
16911,110509,NEW LOTS AVE,3,III,HEGEMAN AV,ATKINS AVENUE,ON,III,2013-11-13T00:00:00,2013-11-13T00:00:00, ,2,2,Sharrows,Sharrows
16912,158020,NEPTUNE AV,3,II,W 37 ST,BRIGHTON 8 ST,ON,II,2005-08-01T00:00:00,2005-08-01T00:00:00, ,L,1, ,Standard
16913,300154,EAST DR,1,I,TERRACE DR,CENTRAL PARK N,ON,I,1979-05-01T00:00:00,1979-05-01T00:00:00,Central Park Auto-Free Hours: Closed to Cars,R,1,Greenway, 
16914,44554,MYRTLE AV,3,III,WILLOUGHBY AV,CENTRAL AV,ON,III,2007-07-01T00:00:00,2007-07-01T00:00:00, ,R,1,Sharrows, 
16915,242247,G WASHINGTON BR,1,I,W 178 ST,NY-NJ BNDY,ON,I,1936-01-01T00:00:00,1936-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
16916,9007704,JEWEL AV,4,II,PARK DR E,164 ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,L,1, ,Standard
16917,32229,CHRISTOPHER ST,1,II,WEST ST,AV OF THE AMERICAS,ON,II,2004-11-01T00:00:00,2009-06-01T00:00:00, ,R,1,Curbside, 
16918,69168,2 AV,1,I,E 125 ST,E 104 ST,ON,I,2012-10-26T00:00:00,2012-10-26T00:00:00, ,L,1, ,Protected Path
16919,111189,C P W 72 APPR,1,I,WEST DR,CPW W72 APPROACH,ON,I,2012-07-09T00:00:00,2018-06-27,Autos limited 2012-09-15.  Fully auto-free 2018-06-27,L,1, ,Greenway
16920,243844,HARLEM RIVER DR GREENWAY,1,I,E 133 ST,W 145 ST,OFF,I,2008-08-01T00:00:00,2008-08-01T00:00:00, ,2,2,Greenway,Greenway
16921,68335,1 AV,1,I,E 96 ST,E 124 ST,ON,I,1981-01-01T00:00:00,2013-10-18T00:00:00, ,R,1,Protected Path, 
16922,54572,102 ST,4,III,155 AV,159 AV,ON,III,2008-04-01T00:00:00,2008-04-01T00:00:00, ,L,1, ,Sharrows
16923,249245,FLUSHING AV,3,II,WILLIAMSBURG ST W,4 ST,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,2,2,Standard,Curbside
16924,75189,63 AVE,4,III,DRY HARBOR RD,82 PLACE,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,2,2,Sharrows,Sharrows
16925,38453,WEST DR,1,I,CENTRAL PARK N,TERRACE DR,ON,I,1979-05-01T00:00:00,2012-09-15T00:00:00,Central Park Auto-Free Hours: Closed to Cars,L,1, ,Greenway
16926,9001478,3 AV,3,II,DEAN ST,15 ST,ON,II,2005-12-01T00:00:00,2005-12-01T00:00:00, ,R,1,Standard, 
16927,303591,MEADOW LAKE RD E,4,III,BOATHOUSE BR,MEADOW LAKE PATH W,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,R,1,Signed Route, 
16928,66739,47 AVENUE,4,III,SKILLMAN AVENUE,51 Street,ON,III,2014-06-02T00:00:00,2014-06-02T00:00:00, ,2,2,Sharrows,Sharrows
16929,149172,QUEENS BLVD,4,I,50 ST,73 ST,ON,I,2015-10-09T00:00:00,2015-10-09T00:00:00, ,R,1,Protected Path, 
16930,44119,THROOP AV,3,II,FLUSHING AV,FULTON ST,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
16931,163395,BEDFORD AV,3,II,EMMONS AV,DIVISION AV,ON,II,1997-08-01T00:00:00,1997-08-01T00:00:00, ,2,2,Standard,Standard
16932,9000990,1 AV,1,I,E 96 ST,E 124 ST,ON,I,1981-01-01T00:00:00,2013-10-18T00:00:00, ,R,1,Protected Path, 
16933,166020,E 78 ST,1,II,5 AVE,YORK AVE,ON,II,2016-07-15T00:00:00,2016-07-15T00:00:00, ,R,1,Standard, 
16934,30111,CUMBERLAND ST,3,III,FLUSHING AV,PARK AV,ON,III,2007-05-01T00:00:00,2007-05-01T00:00:00, ,R,1,Sharrows, 
16935,16339,ST PAULS AVE,5,II,VAN DUZER ST,CEBRA AVE,ON,II,2017-09-29T00:00:00,2017-09-29T00:00:00, ,R,1,Buffered Conventional, 
16936,149218,63 AVE,4,III,82 PLACE,WOODHAVEN BLVD,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,R,1,Sharrows, 
16937,16034,BAY ST,5,III,HYLAN BLVD,SCHOOL RD,ON,III,1980-07-01T00:00:00,2009-12-15T00:00:00, ,2,2,Sharrows,Sharrows
16938,158535,DR M L KING JR BLVD,2,II,EDWARD L GRANT HWY,W TREMONT AV,ON,II,2002-06-01T00:00:00,2002-06-01T00:00:00, ,L,1, ,Standard
16939,188017,PLAZA ST W,3,I,GRAND ARMY PLZ GREENWAY,UNION ST,ON,I,2011-09-01T00:00:00,2011-09-01T00:00:00, ,2,2,Protected Path,Protected Path
16940,44576,CENTRAL AV,3,II,FLUSHING AV,MYRTLE AV,ON,II,2018-10-25T00:00:00,2018-10-25T00:00:00, ,R,1,Standard, 
16941,57742,BEACH CHANNEL DR,4,II,BEACH 47 ST,BEACH 58 ST,ON,II,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Standard,Standard
16942,76249,31 AVE,4,II,74 ST,101 ST,ON,"II,III",2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Sharrows
16943,156397,QUEENS BLVD,4,I,50 ST,73 ST,ON,I,2015-10-09T00:00:00,2015-10-09T00:00:00, ,R,1,Protected Path, 
16944,129611,47 AVENUE,4,III,SKILLMAN AVENUE,51 Street,ON,III,2014-06-02T00:00:00,2014-06-02T00:00:00, ,2,2,Sharrows,Sharrows
16945,297533,SOUNDVIEW PARK GREENWAY,2,I,LAFAYETTE AV,SOUNDVIEW PARK GREENWAY,OFF,I,2014-01-01T00:00:00,2014-01-01T00:00:00, ,2,2,Greenway,Greenway
16946,37734,E 78 ST,1,II,5 AVE,YORK AVE,ON,II,2016-07-15T00:00:00,2016-07-15T00:00:00, ,R,1,Standard, 
16947,113272,GRAND AVE,4,II,69 AVE,74 ST,ON,II,2016-10-16T00:00:00,2016-10-16T00:00:00, ,2,2,Standard,Standard
16948,231539,EASTERN PKWY,3,I,WASHINGTON AV,RALPH AV,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,Bicycling Permitted on South Mall Only,2,2,Greenway,Greenway
16949,37881,1 AV,1,I,E 72 ST,E 96 ST,ON,I,1981-01-01T00:00:00,2013-10-10T00:00:00, ,R,1,Protected Path, 
16950,297339,BRONX RIVER GREENWAY,2,I,E 180 ST,PELHAM PKWY GREENWAY,OFF,I,2013-10-25T00:00:00,2013-10-25T00:00:00, ,2,2,Greenway,Greenway
16951,52274,79 PL,4,II,MYRTLE AV,78 AV,ON,II,2000-01-01T00:00:00,2015-11-01T00:00:00, ,L,1, ,Standard
16952,47723,SCHENCK AVENUE,3,III,NEW LOTS AV,LIBERTY AV,ON,III,2013-11-13T00:00:00,2013-11-13T00:00:00, ,L,1, ,Sharrows
16953,23813,CLINTON ST,3,II,HAMILTON AV,TILLARY ST,ON,II,2003-04-01T00:00:00,2003-04-01T00:00:00, ,L,1, ,Standard
16954,32778,E 10 ST,1,II,GREENWICH AV,AV A,ON,II,2004-11-01T00:00:00,2004-11-01T00:00:00, ,R,1,Standard, 
16955,74309,ELIOT AVE,4,II,69 ST,WOODHAVEN BLVD,ON,II,2016-10-31T00:00:00,2016-11-25T00:00:00, ,2,2,Standard,Standard
16956,67561,34 AV,4,III,CRESCENT ST,47 ST,ON,III,2009-05-01T00:00:00,2009-05-01T00:00:00, ,2,2,Sharrows,Sharrows
16957,110944,W 9 ST,1,II,AV OF THE AMERICAS,AV A,ON,II,2004-11-01T00:00:00,2004-11-01T00:00:00, ,R,1,Standard, 
16958,146164,E 167 ST,2,III,WALTON AV,GRANT AV,ON,III,2007-07-01T00:00:00,2007-07-01T00:00:00, ,L,1, ,Sharrows
16959,9008013,PIKE ST,1,I,CHERRY ST,DIVISION ST,ON,I,2004-06-01T00:00:00,2009-08-01T00:00:00, ,R,1,Protected Path, 
16960,131354,ALLERTON AV,2,II,KINGSLAND AV,BOSTON RD,ON,II,2009-08-01T00:00:00,2009-08-01T00:00:00, ,2,2,Standard,Standard
16961,31819,W BROADWAY,1,III,6 AVE,GRAND ST,ON,III,2013-11-26T00:00:00,2013-11-26T00:00:00, ,R,1,Sharrows, 
16962,61534,BOARDWALK,4,I,BEACH 39 ST,BEACH 19 ST,OFF,I,1970-01-01T00:00:00,2017-07-01T00:00:00, ,2,2,Boardwalk,Boardwalk
16963,242231,G WASHINGTON BR,1,I,W 178 ST,NY-NJ BNDY,ON,I,1936-01-01T00:00:00,1936-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
16964,251826,1 AV,1,I,E 1 ST,E 34 ST,ON,I,2010-10-01T00:00:00,2010-10-01T00:00:00, ,R,1,Protected Path, 
16965,30169,DE KALB AV,3,II,MALCOLM X BLVD,HUDSON AV,ON,II,2004-06-01T00:00:00,2008-05-01T00:00:00, ,L,1, ,Standard
16966,146986,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,R,1,Standard, 
16967,21361,14 AVE,3,III,60 ST,36 ST,ON,III,2015-10-01T00:00:00,2015-10-01T00:00:00, ,L,1, ,Bike-Friendly Parking
16968,181867,WINCHESTER BLVD,4,II,BRADDOCK AV,UNION TP,ON,II,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Standard,Standard
16969,48724,WOODWARD AVE,4,II,CATALPA AVE,FLUSHING AVE,ON,II,2014-08-21T00:00:00,2014-08-21T00:00:00, ,L,1, ,Standard
16970,296713,HIGHLAND BLVD GREENWAY,3,I,JAMAICA AV,HIGHLAND BLVD,OFF,I,2004-11-01T00:00:00,2004-11-01T00:00:00, ,L,1, ,Greenway
16971,67609,SKILLMAN AV,4,I,56 ST,32 PL,ON,I,2008-05-01T00:00:00,2018-10-25T00:00:00, ,L,1,Protected Path,Protected Path
16972,43609,PITKIN AV,3,III,HOWARD AV,LEGION ST,ON,III,2009-10-01T00:00:00,2009-10-01T00:00:00, ,R,1,Sharrows, 
16973,9005811,MADISON ST,1,III,GOUVERNEUR ST,GRAND ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,2,2,Sharrows,Sharrows
16974,184488,CLASSON AVE,3,III,ATLANTIC AVE,PUTNAM AVE,ON,III,2012-06-08T00:00:00,2017-08-24T00:00:00, ,L,1, ,Sharrows
16975,49237,CENTRAL AV,4,III,MYRTLE AV,73 PL,ON,III,2015-11-01T00:00:00,2015-11-01T00:00:00, ,2,2,Sharrows,Sharrows
16976,122428,MOUNT LORETTO GREENWAY,5,I,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00, ,2,2,Greenway,Greenway
16977,149340,MAIN ST,4,III,HOOVER AV,77 RD,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,R,1,Sharrows, 
16978,175675,HUNTS PT AVE,2,I,BRUCKNER BLVD,BRUCKNER BLVD PATH,OFF,I,2017-11-30T00:00:00,2017-11-30T00:00:00, ,2,2,Sidewalk,Sidewalk
16979,314591,E 138 ST,2,II,3 AV,BRUCKNER BLVD,ON,II,2013-11-07T00:00:00,2013-11-07T00:00:00, ,2,2,Standard,Standard
16980,242953,BROOKLYN BR,1,I,PARK ROW,TILLARY ST,ON,I,1966-01-01T00:00:00,1966-01-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
